

Sat Feb 24 10:39:50 PST 2024
  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   673     1   0  9:23AM ??         0:06.41 /System/Applications/Preview.app/Contents/MacOS/Preview
  501   674     1   0  9:23AM ??         0:00.05 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  501   675     1   0  9:23AM ??         0:00.80 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   676     1   0  9:23AM ??         0:00.04 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  501   677     1   0  9:23AM ??         0:15.86 /Applications/VMware Fusion.app/Contents/MacOS/VMware Fusion
  501   678     1   0  9:23AM ??         0:19.74 /usr/libexec/sharingd
  501   679     1   0  9:23AM ??         0:03.31 /System/Applications/Messages.app/Contents/MacOS/Messages
  501   680     1   0  9:23AM ??         0:00.06 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  501   681     1   0  9:23AM ??         0:02.70 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
  501   682     1   0  9:23AM ??         0:05.12 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  501   683     1   0  9:23AM ??         1:43.13 /Applications/Spotify.app/Contents/MacOS/Spotify
  501   684     1   0  9:23AM ??         0:00.55 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  501   685     1   0  9:23AM ??         0:08.56 /System/Applications/Notes.app/Contents/MacOS/Notes
  501   686     1   0  9:23AM ??         0:00.10 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
  501   687     1   0  9:23AM ??         0:00.23 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  441   689     1   0  9:23AM ??         0:00.10 /usr/libexec/rosetta/oahd
  501   690     1   0  9:23AM ??         0:04.15 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501   691     1   0  9:23AM ??         1:19.58 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   692     1   0  9:23AM ??         0:00.24 /usr/libexec/fmfd
  501   693     1   0  9:23AM ??         0:00.35 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501   694     1   0  9:23AM ??         0:00.99 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  501   695     1   0  9:23AM ??         0:31.73 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501   696     1   0  9:23AM ??         0:05.63 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
  501   699     1   0  9:23AM ??         0:14.26 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension
  501   700     1   0  9:23AM ??         0:02.49 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
